fonts-noto-cjk	1:20190410+repack1-2	all
fonts-noto-cjk-extra	1:20190410+repack1-2	all
fonts-noto-color-emoji	0~20200916-1~ubuntu20.04.1	all
fonts-noto-mono	20200323-1build1~ubuntu20.04.1	all
fonts-opensymbol	2:102.11+LibO6.4.7-0ubuntu0.20.04.10	all
fonts-orya	2:1.2	all
fonts-orya-extra	2.0-6	all
fonts-pagul	1.0-7	all
fonts-sahadeva	1.0-4	all
fonts-samyak-deva	1.2.2-4	all
fonts-samyak-gujr	1.2.2-4	all
fonts-samyak-mlym	1.2.2-4	all
fonts-samyak-taml	1.2.2-4	all
fonts-sarai	1.0-2	all
fonts-sil-abyssinica	2.000-1	all
fonts-sil-padauk	4.000-1	all
fonts-smc	1:7.1	all
fonts-smc-anjalioldlipi	7.1.2-1	all
fonts-smc-chilanka	1.400-1	all
fonts-smc-dyuthi	3.0.2-1	all
fonts-smc-gayathri	1.100-1	all
fonts-smc-karumbi	1.1.2-1	all
fonts-smc-keraleeyam	3.0.2-1	all
fonts-smc-manjari	1.710-1	all
fonts-smc-meera	7.0.3-1	all
fonts-smc-rachana	7.0.2-1	all
fonts-smc-raghumalayalamsans	2.2.1-1	all
fonts-smc-suruma	3.2.3-1	all
fonts-smc-uroob	2.0.2-1	all
fonts-taml	2:1.3	all
fonts-telu	2:1.2	all
fonts-telu-extra	2.0-4	all
fonts-thai-tlwg	1:0.7.1-3	all
fonts-tibetan-machine	1.901b-5	all
fonts-tlwg-garuda	1:0.7.1-3	all
fonts-tlwg-garuda-ttf	1:0.7.1-3	all
fonts-tlwg-kinnari	1:0.7.1-3	all
fonts-tlwg-kinnari-ttf	1:0.7.1-3	all
fonts-tlwg-laksaman	1:0.7.1-3	all
fonts-tlwg-laksaman-ttf	1:0.7.1-3	all
fonts-tlwg-loma	1:0.7.1-3	all
fonts-tlwg-loma-ttf	1:0.7.1-3	all
fonts-tlwg-mono	1:0.7.1-3	all
fonts-tlwg-mono-ttf	1:0.7.1-3	all
fonts-tlwg-norasi	1:0.7.1-3	all
fonts-tlwg-norasi-ttf	1:0.7.1-3	all
fonts-tlwg-purisa	1:0.7.1-3	all
fonts-tlwg-purisa-ttf	1:0.7.1-3	all
fonts-tlwg-sawasdee	1:0.7.1-3	all
fonts-tlwg-sawasdee-ttf	1:0.7.1-3	all
fonts-tlwg-typewriter	1:0.7.1-3	all
fonts-tlwg-typewriter-ttf	1:0.7.1-3	all
fonts-tlwg-typist	1:0.7.1-3	all
fonts-tlwg-typist-ttf	1:0.7.1-3	all
fonts-tlwg-typo	1:0.7.1-3	all
fonts-tlwg-typo-ttf	1:0.7.1-3	all
fonts-tlwg-umpush	1:0.7.1-3	all
fonts-tlwg-umpush-ttf	1:0.7.1-3	all
fonts-tlwg-waree	1:0.7.1-3	all
fonts-tlwg-waree-ttf	1:0.7.1-3	all
fonts-ubuntu	0.83-4ubuntu1	all
fonts-urw-base35	20170801.1-3	all
fonts-wqy-microhei	0.2.0-beta-3	all
fonts-wqy-zenhei	0.9.45-7ubuntu1	all
fonts-yrsa-rasa	1.002-2	all
foomatic-db-compressed-ppds	20200401-1	all
foomatic-filters	4.0.17-11	arm64
fortune-mod	1:1.99.1-7build1	arm64
fprintd	1.90.9-1~ubuntu20.04.1	arm64
freeglut3:arm64	2.8.1-3	arm64
freeglut3-dev:arm64	2.8.1-3	arm64
fuse	2.9.9-3	arm64
fwupd	1.5.11-0ubuntu1~20.04.2	arm64
fwupd-signed	1.51.1~20.04.1+1.4-0ubuntu0.1	arm64
g++	4:9.3.0-1ubuntu2	arm64
g++-9	9.4.0-1ubuntu1~20.04.2	arm64
gazebo11	11.15.1-1~focal	arm64
gazebo11-common	11.11.0-1~focal	all
gazebo11-plugin-base	11.15.1-1~focal	arm64
gcc	4:9.3.0-1ubuntu2	arm64
gcc-10-base:arm64	10.5.0-1ubuntu1~20.04	arm64
gcc-8	8.4.0-3ubuntu2	arm64
gcc-8-base:arm64	8.4.0-3ubuntu2	arm64
gcc-9	9.4.0-1ubuntu1~20.04.2	arm64
gcc-9-base:arm64	9.4.0-1ubuntu1~20.04.2	arm64
gcr	3.36.0-2build1	arm64
gdal-data	3.0.4+dfsg-1build3	all
gdb	9.2-0ubuntu1~20.04.2	arm64
gdbserver	9.2-0ubuntu1~20.04.2	arm64
gdisk	1.0.5-1	arm64
gdm3	3.36.3-0ubuntu0.20.04.4	arm64
gedit	3.36.2-0ubuntu1	arm64
gedit-common	3.36.2-0ubuntu1	all
genisoimage	9:1.1.11-3.1ubuntu1	arm64
geoclue-2.0	2.5.6-0ubuntu1	arm64
gettext	0.19.8.1-10build1	arm64
gettext-base	0.19.8.1-10build1	arm64
gfortran	4:9.3.0-1ubuntu2	arm64
gfortran-8	8.4.0-3ubuntu2	arm64
gfortran-9	9.4.0-1ubuntu1~20.04.2	arm64
ghostscript	9.50~dfsg-5ubuntu4.12	arm64
ghostscript-x	9.50~dfsg-5ubuntu4.12	arm64
gir1.2-accountsservice-1.0	0.6.55-0ubuntu12~20.04.7	arm64
gir1.2-appindicator3-0.1	12.10.1+20.04.20200408.1-0ubuntu1	arm64
gir1.2-atk-1.0:arm64	2.35.1-1ubuntu2	arm64
gir1.2-atspi-2.0:arm64	2.36.0-2	arm64
gir1.2-clutter-1.0:arm64	1.26.4+dfsg-1	arm64
gir1.2-clutter-gst-3.0:arm64	3.0.27-1	arm64
gir1.2-cogl-1.0:arm64	1.22.6-1	arm64
gir1.2-coglpango-1.0:arm64	1.22.6-1	arm64
gir1.2-dbusmenu-glib-0.4:arm64	16.04.1+18.10.20180917-0ubuntu6	arm64
gir1.2-freedesktop:arm64	1.64.1-1~ubuntu20.04.1	arm64
gir1.2-gck-1:arm64	3.36.0-2build1	arm64
gir1.2-gcr-3:arm64	3.36.0-2build1	arm64
gir1.2-gdesktopenums-3.0:arm64	3.36.0-1ubuntu1	arm64
gir1.2-gdkpixbuf-2.0:arm64	2.40.0+dfsg-3ubuntu0.5	arm64
gir1.2-gdm-1.0:arm64	3.36.3-0ubuntu0.20.04.4	arm64
gir1.2-geoclue-2.0:arm64	2.5.6-0ubuntu1	arm64
gir1.2-glib-2.0:arm64	1.64.1-1~ubuntu20.04.1	arm64
gir1.2-gmenu-3.0:arm64	3.36.0-1ubuntu1	arm64
gir1.2-gnomebluetooth-1.0:arm64	3.34.3-0ubuntu1	arm64
gir1.2-gnomedesktop-3.0:arm64	3.36.8-0ubuntu1	arm64
gir1.2-goa-1.0:arm64	3.36.1-0ubuntu1	arm64
gir1.2-graphene-1.0:arm64	1.10.0-1build2	arm64
gir1.2-gst-plugins-bad-1.0:arm64	1.16.3-0ubuntu1.1	arm64
gir1.2-gst-plugins-base-1.0:arm64	1.16.3-0ubuntu1.3	arm64
gir1.2-gst-rtsp-server-1.0:arm64	1.16.2-3	arm64
gir1.2-gstreamer-1.0:arm64	1.16.3-0ubuntu1.1	arm64
gir1.2-gtk-2.0:arm64	2.24.32-4ubuntu4	arm64
gir1.2-gtk-3.0:arm64	3.24.20-0ubuntu1.2	arm64
gir1.2-gtkclutter-1.0:arm64	1.8.4-4	arm64
gir1.2-gtksource-4:arm64	4.6.0-1	arm64
gir1.2-gweather-3.0:arm64	3.36.1-1~ubuntu20.04.1	arm64
gir1.2-harfbuzz-0.0:arm64	2.6.4-1ubuntu4.2	arm64
gir1.2-ibus-1.0:arm64	1.5.22-2ubuntu2.1	arm64
gir1.2-javascriptcoregtk-4.0:arm64	2.38.6-0ubuntu0.20.04.1	arm64
gir1.2-json-1.0:arm64	1.4.4-2ubuntu2	arm64
gir1.2-keybinder-3.0	0.3.2-1ubuntu1	arm64
gir1.2-mutter-6:arm64	3.36.9-0ubuntu0.20.04.2	arm64
gir1.2-nm-1.0:arm64	1.22.10-1ubuntu2.4	arm64
gir1.2-nma-1.0:arm64	1.8.24-1ubuntu3	arm64
gir1.2-notify-0.7:arm64	0.7.9-1ubuntu3.20.04.2	arm64
gir1.2-packagekitglib-1.0	1.1.13-2ubuntu1.1	arm64
gir1.2-pango-1.0:arm64	1.44.7-2ubuntu4	arm64
gir1.2-peas-1.0:arm64	1.26.0-2	arm64
gir1.2-polkit-1.0	0.105-26ubuntu1.3	arm64
gir1.2-rb-3.0:arm64	3.4.4-1ubuntu2	arm64
gir1.2-rsvg-2.0:arm64	2.48.9-1ubuntu0.20.04.4	arm64
gir1.2-secret-1:arm64	0.20.4-0ubuntu1	arm64
gir1.2-snapd-1:arm64	1.58-0ubuntu0.20.04.0	arm64
gir1.2-soup-2.4:arm64	2.70.0-1	arm64
gir1.2-totem-1.0:arm64	3.34.1-2ubuntu2	arm64
gir1.2-totemplparser-1.0:arm64	3.26.5-1ubuntu1	arm64
gir1.2-upowerglib-1.0:arm64	0.99.11-1build2	arm64
gir1.2-vte-2.91:arm64	0.60.3-0ubuntu1~20.5	arm64
gir1.2-webkit2-4.0:arm64	2.38.6-0ubuntu0.20.04.1	arm64
gir1.2-wnck-3.0:arm64	3.36.0-1	arm64
git	1:2.25.1-1ubuntu3.13	arm64
git-man	1:2.25.1-1ubuntu3.13	all
gjs	1.64.5-0ubuntu0.20.04.01	arm64
gkbd-capplet	3.26.1-1	arm64
glew-utils	2.1.0-4	arm64
glib-networking:arm64	2.64.2-1ubuntu0.1	arm64
glib-networking-common	2.64.2-1ubuntu0.1	all
glib-networking-services	2.64.2-1ubuntu0.1	arm64
gmsh	4.4.1+ds1-2build1	arm64
gnome-accessibility-themes	3.28-1ubuntu1	all
gnome-bluetooth	3.34.3-0ubuntu1	arm64
gnome-calculator	1:3.36.0-1ubuntu1	arm64
gnome-calendar	3.36.2-0ubuntu1	arm64
gnome-characters	3.34.0-1	arm64
gnome-control-center	1:3.36.5-0ubuntu4.1	arm64
gnome-control-center-data	1:3.36.5-0ubuntu4.1	all
gnome-control-center-faces	1:3.36.5-0ubuntu4.1	all
gnome-desktop3-data	3.36.8-0ubuntu1	all
gnome-disk-utility	3.36.3-0ubuntu1	arm64
gnome-font-viewer	3.34.0-2	arm64
gnome-getting-started-docs	3.36.2-0ubuntu0.1	all
gnome-initial-setup	3.36.2-0ubuntu2	arm64
gnome-keyring	3.36.0-1ubuntu1	arm64
gnome-keyring-pkcs11:arm64	3.36.0-1ubuntu1	arm64
gnome-logs	3.34.0-1ubuntu1	arm64
gnome-menus	3.36.0-1ubuntu1	arm64
gnome-online-accounts	3.36.1-0ubuntu1	arm64
gnome-power-manager	3.32.0-2	arm64
gnome-screenshot	3.36.0-1ubuntu1	arm64
gnome-session-bin	3.36.0-2ubuntu1	arm64
gnome-session-canberra	0.30-7ubuntu1	arm64
gnome-session-common	3.36.0-2ubuntu1	all
gnome-settings-daemon	3.36.1-0ubuntu1.1	arm64
gnome-settings-daemon-common	3.36.1-0ubuntu1.1	all
gnome-shell	3.36.9-0ubuntu0.20.04.3	arm64
gnome-shell-common	3.36.9-0ubuntu0.20.04.3	all
gnome-shell-extension-appindicator	33.1-0ubuntu0.20.04.2	all
gnome-shell-extension-desktop-icons	20.04.0-3~ubuntu20.04.6	all
gnome-shell-extension-ubuntu-dock	68ubuntu1~20.04.1	all
gnome-software	3.36.1-0ubuntu0.20.04.1	arm64
gnome-startup-applications	3.36.0-2ubuntu1	arm64
gnome-system-monitor	3.36.1-0ubuntu0.20.04.1	arm64
gnome-terminal	3.36.2-1ubuntu1~20.04	arm64
gnome-terminal-data	3.36.2-1ubuntu1~20.04	all
gnome-themes-extra:arm64	3.28-1ubuntu1	arm64
gnome-themes-extra-data	3.28-1ubuntu1	all
gnome-todo	3.28.1-5	arm64
gnome-todo-common	3.28.1-5	all
gnome-user-docs	3.36.2+git20200704-0ubuntu0.1	all
gnome-user-docs-zh-hans	3.36.2+git20200704-0ubuntu0.1	all
gnome-video-effects	0.5.0-1ubuntu1	all
gnupg	2.2.19-3ubuntu2.5	all
gnupg-l10n	2.2.19-3ubuntu2.5	all
gnupg-utils	2.2.19-3ubuntu2.5	arm64
google-mock:arm64	1.10.0-2	arm64
googletest	1.10.0-2	all
gparted	1.0.0-0.1build1	arm64
gparted-common	1.0.0-0.1build1	all
gpg	2.2.19-3ubuntu2.5	arm64
gpg-agent	2.2.19-3ubuntu2.5	arm64
gpg-wks-client	2.2.19-3ubuntu2.5	arm64
gpg-wks-server	2.2.19-3ubuntu2.5	arm64
gpgconf	2.2.19-3ubuntu2.5	arm64
gpgsm	2.2.19-3ubuntu2.5	arm64
gpgv	2.2.19-3ubuntu2.5	arm64
graphsurgeon-tf	8.5.2-1+cuda11.4	arm64
graphviz	2.42.2-3build2	arm64
grep	3.4-1	arm64
grilo-plugins-0.3-base:arm64	0.3.11-1ubuntu1	arm64
groff-base	1.22.4-4build1	arm64
grub-common	2.04-1ubuntu26.16	arm64
gsettings-desktop-schemas	3.36.0-1ubuntu1	all
gsettings-ubuntu-schemas	0.0.7+17.10.20170922-0ubuntu1	all
gsfonts	1:8.11+urwcyr1.0.7~pre44-4.4	all
gstreamer1.0-alsa:arm64	1.16.3-0ubuntu1.3	arm64
gstreamer1.0-clutter-3.0:arm64	3.0.27-1	arm64
gstreamer1.0-gl:arm64	1.16.3-0ubuntu1.3	arm64
gstreamer1.0-libav:arm64	1.16.2-2	arm64
gstreamer1.0-nice:arm64	0.1.16-1	arm64
gstreamer1.0-packagekit	1.1.13-2ubuntu1.1	arm64
gstreamer1.0-plugins-bad:arm64	1.16.3-0ubuntu1.1	arm64
gstreamer1.0-plugins-base:arm64	1.16.3-0ubuntu1.3	arm64
gstreamer1.0-plugins-base-apps	1.16.3-0ubuntu1.3	arm64
gstreamer1.0-plugins-good:arm64	1.16.3-0ubuntu1.2	arm64
gstreamer1.0-plugins-ugly:arm64	1.16.2-2build1	arm64
gstreamer1.0-pulseaudio:arm64	1.16.3-0ubuntu1.2	arm64
gstreamer1.0-tools	1.16.3-0ubuntu1.1	arm64
gstreamer1.0-x:arm64	1.16.3-0ubuntu1.3	arm64
gtk-update-icon-cache	3.24.20-0ubuntu1.1	arm64
gtk2-engines-murrine:arm64	0.98.2-3	arm64
gtk2-engines-pixbuf:arm64	2.24.32-4ubuntu4	arm64
gvfs:arm64	1.44.1-1ubuntu1.2	arm64
gvfs-backends	1.44.1-1ubuntu1.2	arm64
gvfs-bin	1.44.1-1ubuntu1.2	arm64
gvfs-common	1.44.1-1ubuntu1.2	all
gvfs-daemons	1.44.1-1ubuntu1.2	arm64
gvfs-fuse	1.44.1-1ubuntu1.2	arm64
gvfs-libs:arm64	1.44.1-1ubuntu1.2	arm64
gzip	1.10-0ubuntu4.1	arm64
haveged	1.9.1-6ubuntu1	arm64
hddtemp	0.3-beta15-53	arm64
hdf5-helpers	1.10.4+repack-11ubuntu1	arm64
hdf5-tools	1.10.4+repack-11ubuntu1	arm64
hdparm	9.58+ds-4	arm64
hicolor-icon-theme	0.17-2	all
hostname	3.23	arm64
humanity-icon-theme	0.6.15	all
hunspell-en-us	1:2018.04.16-1	all
i2c-tools	4.1-2build2	arm64
ibus	1.5.22-2ubuntu2.1	arm64
ibus-data	1.5.22-2ubuntu2.1	all
ibus-gtk:arm64	1.5.22-2ubuntu2.1	arm64
ibus-gtk3:arm64	1.5.22-2ubuntu2.1	arm64
ibus-libpinyin	1.11.1-3	arm64
ibus-pinyin	1.5.0-6build2	arm64
ibus-table	1.9.25-1	all
ibus-table-wubi	1.8.2-3	all
ibverbs-providers:arm64	28.0-1ubuntu1	arm64
icu-devtools	66.1-2ubuntu2.1	arm64
ignition-tools:arm64	1.5.0-1~focal	arm64
iio-sensor-proxy	2.8-1ubuntu2	arm64
ikuuuvpn	0.17.3+1	arm64
im-config	0.44-1ubuntu1.3	all
imagemagick	8:6.9.10.23+dfsg-2.1ubuntu11.11	arm64
imagemagick-6-common	8:6.9.10.23+dfsg-2.1ubuntu11.11	all
imagemagick-6.q16	8:6.9.10.23+dfsg-2.1ubuntu11.11	arm64
init-system-helpers	1.57	all
initramfs-tools	0.136ubuntu6.7	all
initramfs-tools-bin	0.136ubuntu6.7	arm64
initramfs-tools-core	0.136ubuntu6.7	all
inputattach	1:1.7.0-1	arm64
intltool-debian	0.35.0+20060710.5	all
iperf3	3.7-3	arm64
ippusbxd	1.34-2ubuntu1	arm64
iproute2	5.5.0-1ubuntu1	arm64
iptables	1.8.4-3ubuntu2.1	arm64
iputils-ping	3:20190709-3ubuntu1	arm64
isc-dhcp-client	4.4.1-2.1ubuntu5.20.04.5	arm64
isc-dhcp-server	4.4.1-2.1ubuntu5.20.04.5	arm64
iso-codes	4.4-1	all
iw	5.4-1	arm64
javascript-common	11	all
jetson-gpio-common	2.1.1ubuntu1	arm64
jq	1.6-1ubuntu0.20.04.1	arm64
kbd	2.0.4-4ubuntu2	arm64
kerneloops	0.12+git20140509-6ubuntu2	arm64
keyboard-configuration	1.194ubuntu3	all
keyutils	1.6-6ubuntu1.1	arm64
klibc-utils	2.0.7-1ubuntu5.2	arm64
kmod	27-1ubuntu2.1	arm64
krb5-multidev:arm64	1.17-6ubuntu4.4	arm64
language-pack-en-base	1:20.04+20220818	all
language-pack-gnome-zh-hans	1:20.04+20220818	all
language-pack-gnome-zh-hans-base	1:20.04+20220818	all
language-pack-zh-hans	1:20.04+20220818	all
language-pack-zh-hans-base	1:20.04+20220818	all
